id,tool_name,source_path,domain,subdomain,description,deps_pypi,imports_unknown,tags,content_hash
VIZ.PLOTS.001_01_datashader,sm0l_01_datashader,01_datashader.py,VIZ,PLOTS,!/usr/bin/env python3,holoviews numpy pandas,,holoviews numpy pandas,e89da4d17ad6
VIZ.PLOTS.002_02_perspective,sm0l_02_perspective,02_perspective.py,VIZ,PLOTS,!/usr/bin/env python3,,,,89116ecac105
VIZ.PLOTS.003_03_plotly_resampler,sm0l_03_plotly_resampler,03_plotly_resampler.py,VIZ,PLOTS,!/usr/bin/env python3,,,plot,e597d8c26b23
VIZ.MAPS.001_04_pydeck,sm0l_04_pydeck,04_pydeck.py,VIZ,MAPS,!/usr/bin/env python3,numpy pandas pydeck,,numpy pandas pydeck,293316f8e0d9
MISC.MISC.001_05_rich_terminal,sm0l_05_rich_terminal,05_rich_terminal.py,MISC,MISC,!/usr/bin/env python3,rich,,rich,7b93ac6fe603
VIZ.GPU.001_06_vispy,sm0l_06_vispy,06_vispy.py,VIZ,GPU,!/usr/bin/env python3,,,,fc89ac278114
MISC.MISC.002_07_mplcursors,sm0l_07_mplcursors,07_mplcursors.py,MISC,MISC,!/usr/bin/env python3,,,,b2f93a39b0d6
VIZ.PLOTS.004_08_vaex,sm0l_08_vaex,08_vaex.py,VIZ,PLOTS,!/usr/bin/env python3,,,,ed4ae8030762
NLP.BASIC.001_09_textblob,sm0l_09_textblob,09_textblob.py,NLP,BASIC,!/usr/bin/env python3,textblob,,textblob,93a39bd4425a
NLP.SPACY.001_10_spacy,sm0l_10_spacy,10_spacy.py,NLP,SPACY,!/usr/bin/env python3,spacy,,spacy,70fbe31f579e
MISC.MISC.003_11_llamaindex,sm0l_11_llamaindex,11_llamaindex.py,MISC,MISC,!/usr/bin/env python3,,,,44de348b7d6b
WEB.HTTP.001_15_requests_retry,sm0l_15_requests_retry,15_requests_retry.py,WEB,HTTP,!/usr/bin/env python3,requests urllib3,,requests retry urllib3,167b677b8bf9
MISC.MISC.004_16_selenium_waits,sm0l_16_selenium_waits,16_selenium_waits.py,MISC,MISC,!/usr/bin/env python3,,,browser,d4ac31316069
MISC.MISC.005_17_celery_patterns,sm0l_17_celery_patterns,17_celery_patterns.py,MISC,MISC,!/usr/bin/env python3,,,,180b3133d1c3
WEB.SCRAPE.001_18_beautifulsoup,sm0l_18_beautifulsoup,18_beautifulsoup.py,WEB,SCRAPE,!/usr/bin/env python3,beautifulsoup4,,bs4,5f8058ffd2de
MISC.MISC.006_19_pathlib,sm0l_19_pathlib,19_pathlib.py,MISC,MISC,!/usr/bin/env python3,,,pathlib,345f0fb1e69b
MISC.MISC.007_20_typer_cli,sm0l_20_typer_cli,20_typer_cli.py,MISC,MISC,!/usr/bin/env python3,typer,,typer,008ed9165403
MISC.MISC.008_21_pydantic,sm0l_21_pydantic,21_pydantic.py,MISC,MISC,!/usr/bin/env python3,pydantic,,pydantic,317fbf7b08fb
WEB.HTTP.002_22_httpx,sm0l_22_httpx,22_httpx.py,WEB,HTTP,!/usr/bin/env python3,httpx,,httpx,3d987761b5f3
MISC.MISC.009_23_loguru,sm0l_23_loguru,23_loguru.py,MISC,MISC,!/usr/bin/env python3,loguru,,loguru,8b6faaf563b5
MISC.MISC.010_24_joblib,sm0l_24_joblib,24_joblib.py,MISC,MISC,!/usr/bin/env python3,joblib,,joblib,1366a036852b
MISC.MISC.011_25_watchfiles,sm0l_25_watchfiles,25_watchfiles.py,MISC,MISC,!/usr/bin/env python3,,,,71f49564e85d
MISC.MISC.012_26_diskcache,sm0l_26_diskcache,26_diskcache.py,MISC,MISC,!/usr/bin/env python3,,,,21f84d449751
MISC.MISC.013_27_pandera,sm0l_27_pandera,27_pandera.py,MISC,MISC,!/usr/bin/env python3,,,,dcc5006a45cb
MISC.MISC.014_28_textual,sm0l_28_textual,28_textual.py,MISC,MISC,!/usr/bin/env python3,,,,40e130069a0e
MISC.MISC.015_29_streamlit,sm0l_29_streamlit,29_streamlit.py,MISC,MISC,!/usr/bin/env python3,,,,7b95bda21c94
AUTO.SCHED.001_30_schedule_patterns,sm0l_30_schedule_patterns,30_schedule_patterns.py,AUTO,SCHED,!/usr/bin/env python3,,schedule,schedule scheduler time,921296d5283d
DOC.MISC.001_31_pikepdf,sm0l_31_pikepdf,31_pikepdf.py,DOC,MISC,!/usr/bin/env python3,,,pdf,c7d3fd7b88dc
MISC.MISC.016_32_playwright,sm0l_32_playwright,32_playwright.py,MISC,MISC,!/usr/bin/env python3,,,browser,4f48ad0ca3e0
DOC.MISC.002_33_pdf2ocr,sm0l_33_pdf2ocr,33_pdf2ocr.py,DOC,MISC,!/usr/bin/env python3,,,pdf,38c2ab6572e6
MISC.MISC.017_34_moviepy,sm0l_34_moviepy,34_moviepy.py,MISC,MISC,!/usr/bin/env python3,,,,3d65bf8a933d
MISC.MISC.018_35_yt_dlp,sm0l_35_yt_dlp,35_yt_dlp.py,MISC,MISC,!/usr/bin/env python3,,,,3ac9543d922b
MISC.MISC.019_36_builtin_functions,sm0l_36_builtin_functions,36_builtin_functions.py,MISC,MISC,!/usr/bin/env python3,,,timeit,90891fb3bbf8
DATA.DF.001_37_numpy_vectorize,sm0l_37_numpy_vectorize,37_numpy_vectorize.py,DATA,DF,!/usr/bin/env python3,numpy,,numpy timeit,cf9e416a3cae
MISC.MISC.020_38_list_comprehension,sm0l_38_list_comprehension,38_list_comprehension.py,MISC,MISC,!/usr/bin/env python3,,,timeit,ad2b1df29937
MISC.MISC.021_39_profiling_cprofile,sm0l_39_profiling_cprofile,39_profiling_cprofile.py,MISC,MISC,!/usr/bin/env python3,,cProfile pstats,cprofile io pstats timeit,ca3501fa162a
MISC.MISC.022_40_generators,sm0l_40_generators,40_generators.py,MISC,MISC,!/usr/bin/env python3,,,,ddeda7e7701f
MISC.MISC.023_41_local_variables,sm0l_41_local_variables,41_local_variables.py,MISC,MISC,!/usr/bin/env python3,,,timeit,ae9376cf869e
MISC.MISC.024_42_string_join,sm0l_42_string_join,42_string_join.py,MISC,MISC,!/usr/bin/env python3,,,timeit,ff2db9fba392
MISC.MISC.025_43_lru_cache,sm0l_43_lru_cache,43_lru_cache.py,MISC,MISC,!/usr/bin/env python3,,,functools timeit,828f75932563
MISC.MISC.026_44_multiprocessing,sm0l_44_multiprocessing,44_multiprocessing.py,MISC,MISC,!/usr/bin/env python3,,,multiprocessing time,7d57fc330bfa
MISC.MISC.027_45_data_structures,sm0l_45_data_structures,45_data_structures.py,MISC,MISC,!/usr/bin/env python3,,,timeit,71ffd66b507e
